#node time(s) x y

0 341.0 176.8397157952036 20.803806573007694
1 341.0 47.30113379064936 36.37514777819761
2 341.0 188.82525950447285 221.4630486682059
3 341.0 172.48117745028642 231.65492584332932
4 341.0 311.55766468962577 190.79417601348098
0 341.5 176.86087189884083 20.83099979566611
1 341.5 47.31660441511775 36.3731892750922
2 341.5 187.29786403713356 221.82212162734044
3 341.5 172.48090065873853 231.6556391096331
4 341.5 311.5488610284425 190.80943740059206
0 342.0 176.882028002478 20.85819301832452
1 342.0 47.332075039586144 36.371230771986795
2 342.0 185.77046856979428 222.18119458647502
3 342.0 172.48062386719064 231.65635237593688
4 342.0 311.54005736725924 190.82469878770314
0 342.5 176.90318410611522 20.885386240982932
1 342.5 47.34754566405454 36.36927226888139
2 342.5 184.24307310245504 222.5402675456096
3 342.5 172.48034707564278 231.65706564224064
4 342.5 311.531253706076 190.83996017481422
0 343.0 176.92434020975242 20.912579463641343
1 343.0 47.363016288522935 36.36731376577598
2 343.0 182.71567763511575 222.8993405047442
3 343.0 172.4800702840949 231.6577789085444
4 343.0 311.52245004489276 190.8552215619253
0 343.5 176.94549631338964 20.939772686299758
1 343.5 47.37848691299132 36.365355262670576
2 343.5 181.1882821677765 223.25841346387875
3 343.5 172.479793492547 231.65849217484813
4 343.5 311.5136463837095 190.87048294903636
0 344.0 176.9666524170268 20.96696590895817
1 344.0 47.39395753745972 36.36339675956517
2 344.0 179.66088670043717 223.6174864230133
3 344.0 172.4795167009991 231.65920544115193
4 344.0 311.50484272252635 190.88574433614747
0 344.5 176.987808520664 20.99415913161658
1 344.5 47.409428161928105 36.36143825645976
2 344.5 178.1334912330979 223.97655938214788
3 344.5 172.47923990945122 231.65991870745563
4 344.5 311.496039061343 190.9010057232585
0 345.0 177.0089646243012 21.021352354274995
1 345.0 47.4248987863965 36.35947975335436
2 345.0 176.6060957657586 224.33563234128246
3 345.0 172.47896311790336 231.66063197375942
4 345.0 311.4872354001598 190.9162671103696
0 345.5 177.0301207279384 21.048545576933407
1 345.5 47.440369410864896 36.35752125024895
2 345.5 175.07870029841936 224.69470530041704
3 345.5 172.47868632635547 231.66134524006318
4 345.5 311.4784317389766 190.93152849748066
0 346.0 177.0512768315756 21.075738799591818
1 346.0 47.45584003533328 36.355562747143544
2 346.0 173.5513048310801 225.05377825955162
3 346.0 172.4784095348076 231.66205850636698
4 346.0 311.46962807779335 190.94678988459174
0 346.5 177.0724329352128 21.10293202225023
1 346.5 47.471310659801674 36.35360424403813
2 346.5 172.0239093637408 225.41285121868617
3 346.5 172.4781327432597 231.66277177267068
4 346.5 311.4608244166101 190.96205127170282
0 347.0 177.09358903885 21.13012524490864
1 347.0 47.486781284270066 36.35164574093273
2 347.0 170.49651389640155 225.77192417782075
3 347.0 172.47785595171183 231.66348503897447
4 347.0 311.4520207554268 190.9773126588139
0 347.5 177.11474514248718 21.157318467567055
1 347.5 47.502251908738465 36.349687237827325
2 347.5 168.96911842906223 226.13099713695533
3 347.5 172.47757916016394 231.6641983052782
4 347.5 311.4432170942436 190.99257404592498
0 348.0 177.1359012461244 21.184511690225467
1 348.0 47.51772253320686 36.34772873472192
2 348.0 167.441722961723 226.49007009608988
3 348.0 172.47730236861605 231.66491157158197
4 348.0 311.4344134330604 191.00783543303604
0 348.5 177.1570573497616 21.21170491288388
1 348.5 47.53319315767525 36.345770231616505
2 348.5 165.9143274943837 226.8491430552245
3 348.5 172.47702557706816 231.66562483788573
4 348.5 311.42560977187713 191.02309682014715
0 349.0 177.1782134533988 21.23889813554229
1 349.0 47.54866378214365 36.343811728511106
2 349.0 164.38693202704445 227.20821601435904
3 349.0 172.47674878552027 231.6663381041895
4 349.0 311.41680611069387 191.0383582072582
0 349.5 177.19936955703596 21.2660913582007
1 349.5 47.564134406612034 36.34185322540569
2 349.5 162.85953655970516 227.56728897349362
3 349.5 172.47647199397238 231.66705137049328
4 349.5 311.4080024495107 191.05361959436928
0 350.0 177.2205256606732 21.293284580859115
1 350.0 47.579605031080426 36.339894722300286
2 350.0 161.33214109236587 227.9263619326282
3 350.0 172.47619520242452 231.66776463679702
4 350.0 311.39919878832745 191.06888098148033
0 350.5 177.24168176431039 21.320477803517527
1 350.5 47.59507565554882 36.33793621919488
2 350.5 159.8047456250266 228.28543489176275
3 350.5 172.47591841087663 231.66847790310078
4 350.5 311.3903951271442 191.08414236859142
0 351.0 177.26283786794758 21.347671026175938
1 351.0 47.61054628001722 36.335977716089474
2 351.0 158.27735015768732 228.64450785089736
3 351.0 172.47564161932874 231.66919116940454
4 351.0 311.381591465961 191.0994037557025
0 351.5 177.28399397158478 21.37486424883435
1 351.5 47.6260169044856 36.33401921298407
2 351.5 156.74995469034803 229.0035808100319
3 351.5 172.47536482778088 231.6699044357083
4 351.5 311.3727878047777 191.11466514281358
0 352.0 177.305150075222 21.40205747149276
1 352.0 47.641487528954 36.33206070987866
2 352.0 155.2225592230088 229.36265376916646
3 352.0 172.475088036233 231.67061770201204
4 352.0 311.3639841435945 191.12992652992466
0 352.5 177.3263061788592 21.429250694151175
1 352.5 47.65695815342239 36.330102206773255
2 352.5 153.69516375566948 229.72172672830106
3 352.5 172.4748112446851 231.67133096831583
4 352.5 311.35518048241124 191.14518791703574
0 353.0 177.3474622824964 21.45644391680959
1 353.0 47.67242877789078 36.32814370366785
2 353.0 152.16776828833022 230.08079968743561
3 353.0 172.4745344531372 231.67204423461956
4 353.0 311.346376821228 191.16044930414682
0 353.5 177.36861838613356 21.483637139467998
1 353.5 47.68789940235918 36.32618520056244
2 353.5 150.64037282099096 230.43987264657022
3 353.5 172.47425766158932 231.67275750092335
4 353.5 311.3375731600447 191.1757106912579
0 354.0 177.3897744897708 21.510830362126413
1 354.0 47.70337002682757 36.324226697457036
2 354.0 149.11297735365167 230.79894560570477
3 354.0 172.47398087004146 231.67347076722706
4 354.0 311.32876949886156 191.190972078369
0 354.5 177.41093059340798 21.538023584784824
1 354.5 47.71884065129596 36.32226819435163
2 354.5 147.58558188631238 231.15801856483932
3 354.5 172.47370407849357 231.67418403353085
4 354.5 311.3199658376783 191.20623346548
0 355.0 177.43208669704515 21.565216807443235
1 355.0 47.734311275764355 36.32030969124622
2 355.0 146.05818641897312 231.51709152397393
3 355.0 172.47342728694568 231.67489729983464
4 355.0 311.31116217649503 191.22149485259115
0 355.5 177.45324280068237 21.592410030101647
1 355.5 47.74978190023275 36.31835118814082
2 355.5 144.53079095163386 231.87616448310848
3 355.5 172.4731504953978 231.67561056613835
4 355.5 311.30235851531177 191.23675623970217
0 356.0 177.47439890431957 21.61960325276006
1 356.0 47.76525252470114 36.31639268503541
2 356.0 143.00339548429454 232.23523744224306
3 356.0 172.47287370384993 231.67632383244214
4 356.0 311.29355485412856 191.25201762681326
0 356.5 177.49555500795677 21.646796475418476
1 356.5 47.780723149169525 36.31443418193
2 356.5 141.4760000169553 232.59431040137764
3 356.5 172.47259691230204 231.6770370987459
4 356.5 311.28475119294535 191.26727901392434
0 357.0 177.51671111159396 21.673989698076884
1 357.0 47.796193773637924 36.3124756788246
2 357.0 139.948604549616 232.9533833605122
3 357.0 172.47232012075415 231.67775036504966
4 357.0 311.2759475317621 191.28254040103542
0 357.5 177.53786721523116 21.7011829207353
1 357.5 47.811664398106316 36.310517175719184
2 357.5 138.42120908227673 233.31245631964677
3 357.5 172.47204332920626 231.6784636313534
4 357.5 311.2671438705789 191.2978017881465
0 358.0 177.55902331886836 21.72837614339371
1 358.0 47.8271350225747 36.30855867261378
2 358.0 136.89381361493744 233.67152927878135
3 358.0 172.47176653765837 231.67917689765716
4 358.0 311.25834020939567 191.31306317525758
0 358.5 177.58017942250558 21.755569366052125
1 358.5 47.8426056470431 36.30660016950837
2 358.5 135.36641814759818 234.03060223791593
3 358.5 172.47148974611048 231.67989016396092
4 358.5 311.2495365482124 191.32832456236866
0 359.0 177.60133552614275 21.782762588710533
1 359.0 47.85807627151149 36.304641666402965
2 359.0 133.8390226802589 234.3896751970505
3 359.0 172.4712129545626 231.68060343026468
4 359.0 311.24073288702914 191.34358594947975
0 359.5 177.62249162977994 21.809955811368944
1 359.5 47.873546895979885 36.30268316329756
2 359.5 132.31162721291963 234.74874815618506
3 359.5 172.47093616301473 231.68131669656842
4 359.5 311.2319292258459 191.3588473365908
0 360.0 177.64364773341714 21.837149034027355
1 360.0 47.88901752044828 36.30072466019215
2 360.0 130.78423174558034 235.10782111531964
3 360.0 172.47065937146684 231.6820299628722
4 360.0 311.22312556466267 191.37410872370188
0 360.5 177.66480383705436 21.86434225668577
1 360.5 47.90448814491667 36.298766157086746
2 360.5 129.2568362782411 235.46689407445422
3 360.5 172.47038257991898 231.68274322917597
4 360.5 311.2143219034794 191.38937011081293
0 361.0 177.68595994069156 21.891535479344185
1 361.0 47.91995876938506 36.29680765398134
2 361.0 127.7294408109018 235.8259670335888
3 361.0 172.4701057883711 231.68345649547973
4 361.0 311.2055182422962 191.40463149792404
0 361.5 177.70711604432876 21.918728702002593
1 361.5 47.935429393853454 36.29484915087593
2 361.5 126.20204534356252 236.18503999272338
3 361.5 172.4698289968232 231.6841697617835
4 361.5 311.19671458111293 191.4198928850351
0 362.0 177.72827214796595 21.945921924661008
1 362.0 47.950900018321846 36.29289064777053
2 362.0 124.67464987622327 236.54411295185793
3 362.0 172.4695522052753 231.68488302808726
4 362.0 311.1879109199297 191.43515427214618
0 362.5 177.74942825160315 21.97311514731942
1 362.5 47.96637064279024 36.29093214466512
2 362.5 123.14725440888398 236.9031859109925
3 362.5 172.46927541372742 231.685596294391
4 362.5 311.1791072587465 191.45041565925726
0 363.0 177.77058435524035 22.00030836997783
1 363.0 47.98184126725863 36.288973641559714
2 363.0 121.61985894154469 237.26225887012708
3 363.0 172.46899862217956 231.68630956069475
4 363.0 311.17030359756325 191.46567704636834
0 363.5 177.79174045887754 22.02750159263624
